,train_result,test_list
1369,199113,198309
1370,195274,196931
1371,194587,197298
1372,196286,198865
1373,206442,205248
1374,206569,205204
1375,202780,201936
1376,199333,201760
1377,204180,206315
1378,199288,200324
1379,207417,212152
1380,192692,194671
1381,207699,205318
1382,206963,208728
1383,206191,205904
1384,206508,207841
1385,202687,204716
1386,197209,198071
1387,194698,196136
1388,190791,190514
1389,195446,196038
1390,204450,205534
1391,197631,200026
1392,196592,197447
1393,211635,210126
1394,207014,205187
1395,200836,201068
1396,197683,200785
1397,199326,197836
1398,206892,206368
1399,204469,202140
1400,205078,203945
1401,199358,200109
1402,194077,195472
1403,210924,211503
1404,196560,196728
1405,207053,204452
1406,208526,206725
1407,208554,208708
1408,212724,211616
1409,218819,218910
1410,208682,209617
1411,205804,207992
1412,208731,207885
1413,204288,205620
1414,204791,206345
1415,210720,208156
1416,208780,206666
1417,208122,206736
1418,209543,213119
1419,208633,209576
1420,219491,219046
1421,213654,218256
1422,204431,203807
1423,199416,204314
1424,205513,206055
1425,200517,200588
1426,204662,206849
1427,202388,201528
1428,199906,199697
1429,190759,192467
1430,192347,191114
1431,196333,195852
1432,199805,200611
1433,197063,196330
1434,199950,200646
1435,201989,206221
1436,205427,205329
1437,197818,199108
1438,191737,193546
1439,199129,198374
1440,205958,206352
1441,205724,208358
1442,206337,207104
1443,199075,199097
1444,204052,204506
1445,201800,202295
1446,203602,203816
1447,199185,199585
1448,203298,204716
1449,200093,199867
1450,201563,201866
1451,194748,195378
1452,203595,201511
1453,211247,208206
1454,198343,198473
1455,197765,200757
1456,190884,192356
1457,193898,194860
1458,194812,196035
1459,195054,195011
1460,207296,208470
1461,208019,208474
1462,204775,203502
1463,204989,207646
1464,199956,201198
1465,196998,195776
1466,198017,198856
1467,203838,203159
1468,205990,207172
1469,202225,203607
1470,209222,211596
1471,205943,206317
1472,207298,208841
1473,197461,197407
1474,199475,198442
1475,200583,202606
1476,205911,204057
1477,207116,207760
1478,207025,207296
1479,203799,204964
1480,203261,201717
1481,209937,212675
1482,205561,207215
1483,212355,211676
1484,204514,205539
1485,205002,206531
1486,208459,206933
1487,209063,210316
1488,209607,210737
1489,208451,208499
1490,209310,210159
1491,207471,207395
1492,205520,208209
1493,200376,202717
1494,203926,204502
1495,210459,210572
1496,211608,210766
1497,208754,208876
1498,214789,216008
1499,214189,214661
1500,208561,207487
1501,211144,213128
1502,221271,220222
1503,205955,204853
1504,206852,204127
1505,210861,208972
1506,207040,207908
1507,204868,207180
1508,205965,205129
1509,209650,213792
1510,209801,211134
1511,216256,216780
1512,211142,213847
1513,215540,214258
1514,207605,209559
1515,210001,210125
1516,223471,221996
1517,217356,218235
1518,216091,217651
1519,211336,211699
1520,216689,216443
1521,212305,212487
1522,207841,207343
1523,205158,205407
1524,204924,204779
1525,213812,214816
1526,211290,211668
1527,211780,212793
1528,211231,211216
1529,208216,207068
1530,214773,214017
1531,213468,213832
1532,220440,218638
1533,213681,216881
1534,213993,215993
1535,214399,215129
1536,217597,214298
1537,214061,215151
1538,206921,208839
1539,207472,208398
1540,215895,215323
1541,217308,218069
1542,214638,209491
1543,217627,215816
1544,209141,210531
1545,214625,210664
1546,203570,205943
1547,206244,206712
1548,202995,205154
1549,217759,217595
1550,202043,202814
1551,207577,210311
1552,205807,206527
1553,201726,204066
1554,201829,201387
1555,208285,209303
1556,211593,211936
1557,207656,208085
1558,204933,203347
1559,197472,197997
1560,197335,198370
1561,199152,200285
1562,198975,199660
1563,201658,202174
1564,204350,205691
1565,198496,197504
1566,208160,208654
1567,203618,203618
1568,211018,209838
1569,203575,205053
1570,206800,210458
1571,203121,203927
1572,207546,206379
1573,210563,211677
1574,210643,211328
1575,209483,209539
1576,205658,207882
1577,207776,210256
1578,207632,209250
1579,209283,208998
1580,205083,207773
1581,208998,210770
1582,218614,222143
1583,201158,201537
1584,210221,210502
1585,212669,211629
1586,203383,204057
1587,206058,210479
1588,209574,211008
1589,204496,205578
1590,216547,215205
1591,210283,213461
1592,218960,214979
1593,208206,207335
1594,211879,211803
1595,211507,214260
1596,208986,207888
1597,212535,212881
1598,208346,208702
1599,207852,207515
1600,207225,206180
1601,212503,213451
1602,210568,210749
1603,210406,211566
1604,217707,216467
1605,219662,222069
1606,220552,218136
1607,217329,215790
1608,219677,217333
1609,219725,221774
1610,216103,214213
1611,211836,212894
1612,219377,222936
1613,210643,213960
1614,209825,213133
1615,213871,219267
1616,225826,226617
1617,225572,226400
1618,224695,224754
1619,217822,215073
1620,221435,221827
1621,225793,226134
1622,214120,215557
1623,204994,202342
1624,203277,205660
1625,207028,206285
1626,206247,206266
1627,211510,213623
1628,211777,213364
1629,215695,215170
1630,215960,215234
1631,202558,204504
1632,213907,214350
1633,214125,213922
1634,210281,211284
1635,209586,211875
1636,206196,209504
1637,214993,214282
1638,214808,216243
1639,214037,214637
1640,217591,216771
1641,211317,212693
1642,208265,209574
1643,218439,213826
1644,208695,209585
1645,212835,213453
1646,215430,218225
1647,217761,219778
1648,214556,214878
1649,213875,215275
1650,215729,215760
1651,222896,222055
1652,213087,210484
1653,212226,211527
1654,222606,222974
1655,223004,225859
1656,222238,223195
1657,222843,225669
1658,224660,225009
